5
Time taken in solving the query is:  0.31074976921081543  seconds. 
The query was:  sat
e4946 --->  0
e4914 --->  0
e449 --->  0
e2311 --->  0
e4115 --->  0
e4546 --->  0
e182 --->  0
e1724 --->  0
e148 --->  0
e3534 --->  0
e115 --->  0
e3027 --->  0
e3123 --->  0
e1146 --->  0
e442 --->  0
e4039 --->  0
e4049 --->  0
e1421 --->  0
e2413 --->  0
e3121 --->  0
e350 --->  0
e3411 --->  0
e4927 --->  0
e4719 --->  0
e2530 --->  0
e303 --->  0
e1739 --->  0
e74 --->  0
e4847 --->  0
e1531 --->  0
e283 --->  0
e3427 --->  0
e3521 --->  0
e028 --->  0
e247 --->  0
e4321 --->  0
e2833 --->  0
e1424 --->  0
e745 --->  0
e2335 --->  0
e2725 --->  0
e3616 --->  0
e399 --->  0
e400 --->  0
e4536 --->  0
e451 --->  0
e339 --->  0
e1341 --->  0
e3910 --->  0
e4538 --->  0
e1227 --->  0
e2244 --->  0
e160 --->  0
e421 --->  0
e1633 --->  0
e839 --->  0
e4829 --->  0
e2626 --->  0
e2341 --->  0
e2646 --->  0
e015 --->  0
e3827 --->  0
e154 --->  0
e519 --->  0
e1116 --->  0
e3216 --->  0
e4048 --->  0
e2923 --->  0
e4636 --->  0
e2012 --->  0
e2320 --->  0
e1240 --->  0
e2128 --->  0
e2349 --->  0
e134 --->  0
e846 --->  0
e4236 --->  0
e4532 --->  0
e3025 --->  0
e3647 --->  0
e2523 --->  0
e64 --->  0
e326 --->  0
e1216 --->  0
e332 --->  0
e2318 --->  0
e3929 --->  0
e3038 --->  0
e1316 --->  0
e4611 --->  0
e1825 --->  0
e3927 --->  0
e328 --->  0
e24 --->  0
e1937 --->  0
e3314 --->  0
e3838 --->  0
e193 --->  0
e4524 --->  0
e4638 --->  0
e4935 --->  0
e4144 --->  0
e269 --->  0
e335 --->  0
e4426 --->  0
e4937 --->  0
e2737 --->  0
e4110 --->  0
e1422 --->  0
e1917 --->  0
e1439 --->  0
e218 --->  0
e3446 --->  0
e2037 --->  0
e4422 --->  0
e734 --->  0
e1428 --->  0
e814 --->  0
e021 --->  0
e2635 --->  0
e45 --->  0
e1020 --->  0
e4816 --->  0
e301 --->  0
e027 --->  0
e418 --->  0
e1138 --->  0
e848 --->  0
e1042 --->  0
e1719 --->  0
e287 --->  0
e1436 --->  0
e3321 --->  0
e1025 --->  0
e3535 --->  0
e2638 --->  0
e1636 --->  0
e2721 --->  0
e1423 --->  0
e1344 --->  0
e4136 --->  0
e4213 --->  0
e290 --->  0
e045 --->  0
e2123 --->  0
e2237 --->  0
e288 --->  0
e4449 --->  0
e3629 --->  0
e2949 --->  0
e2848 --->  0
e1534 --->  0
e4531 --->  0
e2918 --->  0
e644 --->  0
e4318 --->  0
e743 --->  0
e4642 --->  0
e380 --->  0
e1117 --->  0
e304 --->  0
e530 --->  0
e2336 --->  0
e271 --->  0
e3747 --->  0
e72 --->  0
e212 --->  0
e1215 --->  0
e461 --->  0
e177 --->  0
e2438 --->  0
e2429 --->  0
e1012 --->  0
e1233 --->  0
e3532 --->  0
e260 --->  0
e348 --->  0
e159 --->  0
e261 --->  0
e946 --->  0
e142 --->  0
e267 --->  0
e2723 --->  0
e2926 --->  0
e046 --->  0
e942 --->  0
e1230 --->  0
e3112 --->  0
e3234 --->  0
e936 --->  0
e1016 --->  0
e3713 --->  0
e3748 --->  0
e2724 --->  0
e3825 --->  0
e3834 --->  0
e2436 --->  0
e4843 --->  0
e2847 --->  0
e2633 --->  0
e1218 --->  0
e2735 --->  0
e4830 --->  0
e4936 --->  0
e934 --->  0
e1419 --->  0
e459 --->  0
e4933 --->  0
e1418 --->  0
e144 --->  0
e1524 --->  0
e1546 --->  0
e1936 --->  0
e614 --->  0
e1415 --->  0
e2641 --->  0
e431 --->  0
e1410 --->  0
e2314 --->  0
e943 --->  0
e926 --->  0
e65 --->  0
e2948 --->  0
e4625 --->  0
e2443 --->  0
e2914 --->  0
e2628 --->  0
e617 --->  0
e18 --->  0
e2011 --->  0
e2136 --->  0
e543 --->  0
e4441 --->  0
e92 --->  0
e4027 --->  0
e4932 --->  0
e1530 --->  0
e613 --->  0
e4643 --->  0
e84 --->  0
e2044 --->  0
e827 --->  0
e28 --->  0
e2135 --->  0
e3839 --->  0
e1813 --->  0
e1028 --->  0
e36 --->  0
e3820 --->  0
e4343 --->  0
e270 --->  0
e447 --->  0
e1426 --->  0
e3022 --->  0
e4143 --->  0
e1447 --->  0
e4729 --->  0
e4839 --->  0
e1048 --->  0
e3545 --->  0
e98 --->  0
e2121 --->  0
e920 --->  0
e2032 --->  0
e2613 --->  0
e4116 --->  0
e468 --->  0
e4842 --->  0
e4233 --->  0
e3726 --->  0
e3742 --->  0
e3239 --->  0
e049 --->  0
e014 --->  0
e3732 --->  0
e406 --->  0
e1741 --->  0
e391 --->  0
e130 --->  0
e537 --->  0
e375 --->  0
e411 --->  0
e1637 --->  0
